Date,Open,High,Low,Close,Volume,Market Cap,,,
Jan-01-2015,320.193,320.435,314.003,314.136,13059799.41,4322902379,,,
Dec-31-2014,310.737,319.983,310.211,319.983,12319124.65,4284190136,,,
Dec-30-2014,312.67,314.809,309.373,310.61,11824949.13,4269906181,,,
Dec-29-2014,317.239,320.267,312.307,312.307,11507308.68,4312459651,,,
Dec-28-2014,315.863,320.028,311.078,317.506,13520211.46,4315621642,,,
Dec-27-2014,327.924,328.911,312.63,315.631,17757634.84,4350800441,,,
Dec-26-2014,319.008,331.424,316.627,328.517,10315642.92,4416054931,,,
Dec-25-2014,322.534,322.67,316.958,319,14561132.99,4354398313,,,
Dec-24-2014,334.572,334.741,321.357,322.774,14808088.15,4490709454,,,
Dec-23-2014,331.886,336.287,329.602,334.702,18610149.31,4539669503,,,
Dec-22-2014,320.843,334.117,320.425,331.896,18976770.49,4476633863,,,
Dec-21-2014,329.956,329.956,318.903,320.896,17524940.63,4412512154,,,
Dec-20-2014,317.843,330.325,316.044,329.365,24216250.52,4421115675,,,
Dec-19-2014,311.396,318.533,306.769,317.68,28673448.61,4256435549,,,
Dec-18-2014,319.776,323.709,304.232,311.629,40467782.29,4261777516,,,
Dec-17-2014,327.062,333.954,315.152,319.31,33509020.21,4400485646,,,
Dec-16-2014,345.345,345.859,328.514,328.548,25361939.37,4578833968,,,
Dec-15-2014,351.632,351.815,344.934,345.179,15548871.53,4733369389,,,
Dec-14-2014,347.376,353.316,345.418,351.714,9633498.507,4734524653,,,
Dec-13-2014,352.381,352.381,346.588,347.557,14737890.71,4734277324,,,
Dec-12-2014,350.833,352.983,349.291,352.542,21186238.96,4780065979,,,
Dec-11-2014,346.365,361.357,338.763,350.506,23959425.98,4741646089,,,
Dec-10-2014,352.219,352.384,347.082,347.332,22380909.38,4749511968,,,
Dec-09-2014,361.909,363.067,344.951,351.581,28082595.49,4796591789,,,
Dec-08-2014,375.095,376.029,361.886,361.886,11745634.53,5015765745,,,
Dec-07-2014,374.785,376.292,373.275,375.156,5773274.757,5093570470,,,
Dec-06-2014,376.854,378.448,370.945,374.783,12420458.4,5089345921,,,
Dec-05-2014,369.604,379.192,365.756,376.616,14849330.21,5052083334,,,
Dec-04-2014,375.01,378.655,367.759,369.066,13592784.67,5081288820,,,
Dec-03-2014,381.315,383.026,374.346,375.222,13254944.79,5140256940,,,
Dec-02-2014,379.245,384.038,377.863,381.711,11269971.91,5167661926,,,
Dec-01-2014,378.047,383.662,376.669,379.366,9976279.059,5148701257,,,
Nov-30-2014,375.491,382.527,373.309,378.236,13082616.88,5120826489,,,
Nov-29-2014,376.447,387.601,372.145,375.534,21539838.19,5121970099,,,
Nov-28-2014,369.67,382.838,358.455,377.006,13009240.17,5002423198,,,
Nov-27-2014,368.37,373.992,368.282,369.535,13383612.74,5051944662,,,
Nov-26-2014,375.348,377.698,365.816,367.066,22495653.13,5037739636,,,
Nov-25-2014,376.901,394.701,374.784,375.001,32861720,5190208285,,,
Nov-24-2014,367.573,387.209,366.669,376.631,23085671.78,5071139413,,,
Nov-23-2014,352.92,370.845,352.92,367.968,13182837.85,4869591101,,,
Nov-22-2014,350.848,364.841,350.848,353.273,20202844.44,4845465957,,,
Nov-21-2014,357.84,357.879,344.112,351.329,30239142.51,4766573018,,,
Nov-20-2014,380.555,382.025,356.781,357.799,21736320.83,4961024562,,,
Nov-19-2014,375.198,386.481,373.896,380.643,25768545.49,5113192695,,,
Nov-18-2014,387.408,392.402,371.117,375.005,38566355.9,5164355603,,,
Nov-17-2014,387.882,410.199,377.502,387.72,24005005.57,5366981347,,,
Nov-16-2014,376.133,390.799,374.602,388.308,15507646.88,5166601723,,,
Nov-15-2014,397.818,405.528,371.008,377.436,20056711.46,5254118167,,,
Nov-14-2014,420.735,420.735,384.789,397.55,47299567.94,5330735390,,,
Nov-13-2014,423.561,457.093,401.123,418.364,58432514.24,5867793047,,,
Nov-12-2014,367.695,429.718,367.695,421.391,28690605.21,5329716500,,,
Nov-11-2014,366.924,371.31,363.735,367.783,24853500,4942936590,,,
Nov-10-2014,363.264,374.816,357.561,365.658,28670205.92,4918730213,,,
Nov-09-2014,345.488,363.626,344.255,363.013,13345628.33,4734389128,,,
Nov-08-2014,342.415,347.032,342.154,345.681,11810683.02,4640533542,,,
Nov-07-2014,349.29,352.732,341.776,342.479,23926555.05,4663531776,,,
Nov-06-2014,339.486,352.966,338.424,349.491,15877640.28,4628568060,,,
Nov-05-2014,330.492,343.369,330.492,339.687,19292615.63,4554899375,,,
Nov-04-2014,327.554,331.767,325.077,330.717,13205792.36,4415004457,,,
Nov-03-2014,325.892,334.002,325.481,327.495,11246628.12,4426432518,,,
Nov-02-2014,325.749,329.05,320.626,325.995,13668810.43,4381863083,,,
Nov-01-2014,338.321,340.529,321.055,324.768,13800348.4,4452395055,,,
Oct-31-2014,345.305,348.045,337.142,338.594,27295572.47,4598095412,,,
